,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
220,Re-education pt. 4,Love,Keyshia Cole,The Way It Is,76,2005-01-01,255333
221,Re-education pt. 4,U Got It Bad,Usher,8701,70,2001-08-07,247840
222,Re-education pt. 4,Trust,Keyshia Cole,A Different Me,50,2008-01-01,253320
223,Re-education pt. 4,Trust,Monica,A Different Me,50,2008-01-01,253320
224,Re-education pt. 4,Family Affair,Mary J. Blige,No More Drama,76,2001-01-01,265866
225,Re-education pt. 4,Sweet Lady,Tyrese,The Legacy of Rn'B Slow Jamz,22,2015-07-17,290626
226,Re-education pt. 4,Obsesion (No Es Amor) (feat. Baby Bash),Frankie J,The One,56,2003,225626
227,Re-education pt. 4,Obsesion (No Es Amor) (feat. Baby Bash),Baby Bash,The One,56,2003,225626
228,Re-education pt. 4,Let Me Blow Ya Mind,Eve,Scorpion,75,2001-01-01,230133
229,Re-education pt. 4,Let Me Blow Ya Mind,Gwen Stefani,Scorpion,75,2001-01-01,230133
230,Re-education pt. 4,Hey Ma,Cam’ron,Come Home With Me,57,2002-01-01,232533
231,Re-education pt. 4,Hey Ma,Juelz Santana,Come Home With Me,57,2002-01-01,232533
232,Re-education pt. 4,Hey Ma,Freekey Zeekey,Come Home With Me,57,2002-01-01,232533
233,Re-education pt. 4,Hey Ma,Toya,Come Home With Me,57,2002-01-01,232533
234,Re-education pt. 4,Be Without You - Kendu Mix,Mary J. Blige,Reflections - A Retrospective,0,2006-01-01,248733
235,Re-education pt. 4,Happy,Ashanti,Ashanti,62,2002-01-01,262226
236,Re-education pt. 4,21 Questions,50 Cent,Get Rich Or Die Tryin' (Explicit UK Version),0,2003-02-06,224426
237,Re-education pt. 4,21 Questions,Nate Dogg,Get Rich Or Die Tryin' (Explicit UK Version),0,2003-02-06,224426
238,Re-education pt. 4,Don't Wanna Try,Frankie J,Playlist: The Very Best Of Frankie J,30,2003,245706
239,Re-education pt. 4,Promise,Jagged Edge,J.E. Heartbreak,55,2000-01-18,246720
240,Momma,Many Rivers To Cross,UB40,Labour Of Love,47,1983-01-01,273000
241,Momma,Red Red Wine,UB40,Labour Of Love,59,1983-01-01,320933
242,Momma,Like a Prayer,Madonna,Celebration (double disc version),72,2009-09-18,342680
243,Momma,I Can See Clearly Now,Jimmy Cliff,We All Are One: The Best Of Jimmy Cliff,63,2002-06-11,196000
244,Momma,"The Harder They Come - From ""The Harder They Come"" Soundtrack",Jimmy Cliff,The Harder They Come,0,1972-01-01,219906
245,Momma,You Can Get It If You Really Want,Jimmy Cliff,The Harder They Come,0,1972-01-01,158893
246,Momma,Dancing Queen,ABBA,Arrival,1,1976,230693
247,Momma,Chiquitita,ABBA,Voulez-Vous,0,1979,327040
248,Momma,When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman,67,1966,173866
249,Momma,My Special Prayer,Percy Sledge,The Percy Sledge Way,47,1967,185493
250,Momma,Stand by Me,Otis Redding,Pain in My Heart,69,1964,172333
251,Momma,(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),77,1968,163755
252,Momma,Otra Como Tu,Eros Ramazzotti,Todo Historias,69,1993-01-01,281226
253,Momma,Cosas De La Vida,Eros Ramazzotti,Todo Historias,65,1993-01-01,288986
254,Momma,La Media Vuelta,Julio Iglesias,México & Amigos,0,2017-05-05,198320
255,Momma,La Media Vuelta,Eros Ramazzotti,México & Amigos,0,2017-05-05,198320
256,Momma,I Got You Babe,UB40,Baggariddim,65,1985-01-01,189093
257,Momma,I Got You Babe,Chrissie Hynde,Baggariddim,65,1985-01-01,189093
258,Momma,Os Brutos Também Amam - Ao Vivo,Agnaldo Timoteo,50 Anos na Estrada Asfaltada (Ao Vivo),12,2015-03-26,223066
