,Unnamed: 0,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
147,147,Heavy Feeling,Sleeping Sickness,City and Colour,Sleeping Sickness,0,2007,250120
148,148,Heavy Feeling,To Build A Home (feat. Patrick Watson),The Cinematic Orchestra,Ma Fleur,0,2007,370666
149,149,Heavy Feeling,Asleep - 2008 Remaster,The Smiths,The Sound of the Smiths (Deluxe; 2008 Remaster),44,2008,250280
150,150,Heavy Feeling,Benedictus,2CELLOS,In2ition,41,2013,400426
151,151,Heavy Feeling,Fuck Feelings,Born Ruffians,RUFF (Deluxe Version),0,2016,207733
152,152,Heavy Feeling,I Miss You,blink-182,blink-182,71,2003,227240
153,153,Heavy Feeling,Creep,Radiohead,Pablo Honey,2,1993,238640
154,154,Heavy Feeling,Hurt,Johnny Cash,American IV: The Man Comes Around,74,2002,216533
155,155,Re-education pt. 1,Cue 1,Madlib,The Beats (Our Vinyl Weighs a Ton Soundtrack),0,2014,73835
156,156,Re-education pt. 1,So Far To Go,J Dilla,The Shining,0,2012,336813
157,157,Re-education pt. 1,So Far To Go,Common,The Shining,0,2012,336813
158,158,Re-education pt. 1,So Far To Go,D'Angelo,The Shining,0,2012,336813
159,159,Re-education pt. 1,Fall in Love,Slum Village,Fantastic Vol. 2.10,0,2010,235200
160,160,Re-education pt. 1,Mathematics,Mos Def,Black On Both Sides,61,1999,246440
161,161,Re-education pt. 1,I Can,Nas,God's Son,58,2002,253720
162,162,Re-education pt. 1,The World Is Yours,Nas,Illmatic,68,1994,290573
163,163,Re-education pt. 1,Never Catch Me,Flying Lotus,You're Dead!,56,2014,234486
164,164,Re-education pt. 1,Never Catch Me,Kendrick Lamar,You're Dead!,56,2014,234486
165,165,Re-education pt. 1,MmmHmm,Flying Lotus,Cosmogramma,40,2010,254840
166,166,Re-education pt. 1,MmmHmm,Thundercat,Cosmogramma,40,2010,254840
167,167,Re-education pt. 1,Nothing Like This,J Dilla,Ruff Draft,0,2007,153666
168,168,Re-education pt. 1,You Got Me,The Roots,Things Fall Apart,65,1999,259306
169,169,Re-education pt. 1,You Got Me,Tariq Trotter,Things Fall Apart,65,1999,259306
170,170,Re-education pt. 1,You Got Me,Erykah Badu,Things Fall Apart,65,1999,259306
171,171,Re-education pt. 1,You Got Me,Eve,Things Fall Apart,65,1999,259306
172,172,Re-education pt. 1,A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",56,2000,280973
173,173,Re-education pt. 1,Gettin' In the Way,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",43,2000,236493
174,174,Re-education pt. 1,He Loves Me (Lyzel in E Flat),Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",52,2000,285746
175,175,Re-education pt. 1,Nothing Even Matters,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,0,1998,350533
176,176,Re-education pt. 1,Nothing Even Matters,D'Angelo,The Miseducation of Lauryn Hill,0,1998,350533
177,177,Re-education pt. 1,Doo Wop (That Thing),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,0,1998,320266
178,178,Re-education pt. 1,Baby,J Dilla,The Shining - The 10th Anniversary Collection,0,2016,208320
179,179,Re-education pt. 1,Baby,Madlib,The Shining - The 10th Anniversary Collection,0,2016,208320
180,180,Re-education pt. 1,Baby,Guilty Simpson,The Shining - The 10th Anniversary Collection,0,2016,208320
181,181,Re-education pt. 1,Ms. Fat Booty,Mos Def,Black On Both Sides,70,1999,223546
